PPU;Fecha;a14;a15;a16;a17;a18;𝑰𝑪𝑨𝑻𝒆𝒓𝒎𝒊𝒏𝒂𝒍;Terminal ;Tipo bus;Marca
LXDJ29;02-05-2024;1;1;1;1;1; 5,00 ;SANTA MARGARITA;B2;SCANIA
SHCY10;02-05-2024;1;1;1;1;1; 5,00 ;CONDELL;A2;VOLVO
SJTD56;02-05-2024;1;1;1;1;1; 5,00 ;CONDELL;BE;FOTON
SJTD66;02-05-2024;1;1;1;1;1; 5,00 ;CONDELL;BE;FOTON
SKHF91;02-05-2024;1;1;1;1;1; 5,00 ;CONDELL;BE;FOTON
STHL11;03-05-2024;1;1;1;1;1; 5,00 ;STA MARTA;BE;FOTON
STHL42;03-05-2024;1;1;1;1;0; 4,00 ;STA MARTA;BE;FOTON
STHJ98;03-05-2024;1;1;1;1;1; 5,00 ;STA MARTA;BE;FOTON
STHF88;03-05-2024;1;1;1;1;1; 5,00 ;STA MARTA;BE;FOTON
STHJ61;03-05-2024;1;1;1;1;1; 5,00 ;STA MARTA;BE;FOTON
STHJ72;03-05-2024;1;1;1;1;0; 4,00 ;STA MARTA;BE;FOTON
STHP12;03-05-2024;1;1;1;1;1; 5,00 ;STA MARTA;BE;FOTON
STHL51;03-05-2024;1;1;1;1;1; 5,00 ;STA MARTA;BE;FOTON
LXDH88;03-05-2024;1;1;1;1;1; 5,00 ;SANTA MARGARITA;B2;SCANIA
LXDJ28;03-05-2024;1;1;1;1;1; 5,00 ;SANTA MARGARITA;B2;SCANIA
SHCY17;03-05-2024;1;1;1;1;1; 5,00 ;SANTA MARGARITA;C2;VOLVO
SHXC20;03-05-2024;1;1;1;1;1; 5,00 ;SANTA MARGARITA;C2;VOLVO
SHXD78;03-05-2024;1;1;1;1;1; 5,00 ;SANTA MARGARITA;C2;VOLVO
SHXF24;03-05-2024;1;1;1;1;1; 5,00 ;SANTA MARGARITA;C2;VOLVO
SJPC38;03-05-2024;1;1;1;1;1; 5,00 ;SANTA MARGARITA;C2;VOLVO
SJPC56;03-05-2024;1;1;1;1;1; 5,00 ;SANTA MARGARITA;C2;VOLVO
SJPF88;03-05-2024;1;1;1;1;1; 5,00 ;CONDELL;C2;VOLVO
LXDJ18;06-05-2024;1;1;1;1;1; 5,00 ;SANTA MARGARITA;B2;SCANIA
SHXD76;06-05-2024;0;1;1;1;1; 4,00 ;SANTA MARGARITA;C2;VOLVO
SHXG31;06-05-2024;1;1;1;1;1; 5,00 ;EL RETIRO;C2;VOLVO
SJPC36;06-05-2024;0;1;1;1;1; 4,00 ;EL RETIRO;C2;VOLVO
LXDJ17;06-05-2024;1;1;1;1;1; 5,00 ;SANTA MARGARITA;B2;SCANIA
LXDJ30;06-05-2024;1;1;1;1;0; 4,00 ;SANTA MARGARITA;B2;SCANIA
LDJW45;06-05-2024;1;1;1;1;0; 4,00 ;EL RETIRO;B2;MERCEDES BENZ
FLXS58;07-05-2024;1;1;1;1;1; 5,00 ;STA MARTA;BPAL;MERCEDES BENZ
