EMPRESA;PLACA;INTERNO;TIPO BUS;TIPO FLOTA;MARCA CHASIS;TERMINAL;TIEMPO
US1;SHCY11;1002;A2;FOB;VOLVO;EL RETIRO;45
US1;SHCY32;1003;A2;FOB;VOLVO;EL RETIRO;45
US1;SHCY33;1004;A2;FOB;VOLVO;EL RETIRO;45
US1;SHCY34;1005;A2;FOB;VOLVO;EL RETIRO;45
US1;SHCY39;1008;A2;FR;VOLVO;EL RETIRO;45
US1;SHCY40;1009;A2;FR;VOLVO;EL RETIRO;45
US1;SHCY46;1010;A2;FOB;VOLVO;EL RETIRO;45
US1;SHCY47;1011;A2;FOB;VOLVO;EL RETIRO;45
US1;SHCY49;1012;A2;FOB;VOLVO;EL RETIRO;45
US1;SHCY50;1013;A2;FOB;VOLVO;EL RETIRO;45
US1;SHCY55;1015;A2;FOB;VOLVO;EL RETIRO;45
US1;LXDH97;2055;B2;FOB;SCANIA;EL RETIRO;60
US1;LXDJ16;2064;B2;FOB;SCANIA;EL RETIRO;60
US1;LXDJ22;2070;B2;FOB;SCANIA;EL RETIRO;60
US1;LXDJ23;2071;B2;FOB;SCANIA;EL RETIRO;60
US1;LDJV50;2091;B2;FOB;MERCEDES BENZ;EL RETIRO;60
US1;LDJW30;2095;B2;FOB;MERCEDES BENZ;EL RETIRO;60
US1;LDJW31;2096;B2;FOB;MERCEDES BENZ;EL RETIRO;60
US1;LDJW34;2097;B2;FOB;MERCEDES BENZ;EL RETIRO;60
US1;LDJW35;2098;B2;FOB;MERCEDES BENZ;EL RETIRO;60
US1;LDJW36;2099;B2;FOB;MERCEDES BENZ;EL RETIRO;60
US1;LDJW37;2100;B2;FOB;MERCEDES BENZ;EL RETIRO;60
US1;LDJW38;2101;B2;FOB;MERCEDES BENZ;EL RETIRO;60
US1;LDJW39;2102;B2;FOB;MERCEDES BENZ;EL RETIRO;60
US1;LDJW40;2103;B2;FR;MERCEDES BENZ;EL RETIRO;60
US1;LDJW41;2104;B2;FOB;MERCEDES BENZ;EL RETIRO;60
US1;LDJW42;2105;B2;FOB;MERCEDES BENZ;EL RETIRO;60
US1;LDJW43;2106;B2;FOB;MERCEDES BENZ;EL RETIRO;60
US1;LDJW44;2107;B2;FOB;MERCEDES BENZ;EL RETIRO;60
US1;LDJW45;2108;B2;FOB;MERCEDES BENZ;EL RETIRO;60
US1;LDJW46;2109;B2;FOB;MERCEDES BENZ;EL RETIRO;60
US1;LDJW47;2110;B2;FOB;MERCEDES BENZ;EL RETIRO;60
US1;LDJW49;2112;B2;FOB;MERCEDES BENZ;EL RETIRO;60
US1;LJDL48;2113;B2;FR;MERCEDES BENZ;EL RETIRO;60
US1;SHXF30;4035;C2;FOB;VOLVO;EL RETIRO;75
US1;SHXG17;4036;C2;FOB;VOLVO;EL RETIRO;75
US1;SHXG31;4038;C2;FOB;VOLVO;EL RETIRO;75
US1;SHXG34;4040;C2;FOB;VOLVO;EL RETIRO;75
US1;SJPC36;4043;C2;FR;VOLVO;EL RETIRO;75
US1;SJPC37;4044;C2;FOB;VOLVO;EL RETIRO;75
US1;SJPC41;4046;C2;FOB;VOLVO;EL RETIRO;75
US1;SJPC45;4048;C2;FOB;VOLVO;EL RETIRO;75
US1;SJPC48;4049;C2;FOB;VOLVO;EL RETIRO;75
US1;SJPC49;4050;C2;FOB;VOLVO;EL RETIRO;75
US1;SJPC52;4052;C2;FOB;VOLVO;EL RETIRO;75
US1;SJPD89;4057;C2;FOB;VOLVO;EL RETIRO;75
US1;SJPD90;4058;C2;FOB;VOLVO;EL RETIRO;75
US1;SJPD91;4059;C2;FOB;VOLVO;EL RETIRO;75
US1;SJPD93;4061;C2;FOB;VOLVO;EL RETIRO;75
US1;SJPD95;4063;C2;FOB;VOLVO;EL RETIRO;75
US1;SJPD96;4064;C2;FOB;VOLVO;EL RETIRO;75
US1;SJPC68;4067;C2;FOB;VOLVO;EL RETIRO;75
US1;SJPF87;4069;C2;FOB;VOLVO;EL RETIRO;75
US1;LXDH88;2046;B2;FOB;SCANIA;SANTA MARGARITA;60
US1;LXDJ28;2076;B2;FOB;SCANIA;SANTA MARGARITA;60
US1;LXDJ30;2078;B2;FOB;SCANIA;SANTA MARGARITA;60
US1;LXDJ17;2065;B2;FOB;SCANIA;SANTA MARGARITA;60
US1;LXDJ18;2066;B2;FOB;SCANIA;SANTA MARGARITA;60
US1;LXDJ26;2074;B2;FOB;SCANIA;SANTA MARGARITA;60
US1;LXDJ27;2075;B2;FOB;SCANIA;SANTA MARGARITA;60
US1;LXDJ29;2077;B2;FOB;SCANIA;SANTA MARGARITA;60
US1;LXDJ31;2079;B2;FOB;SCANIA;SANTA MARGARITA;60
US1;SHCY17;4027;C2;FOB;VOLVO;SANTA MARGARITA;75
US1;SHCY18;4025;C2;FOB;VOLVO;SANTA MARGARITA;75
US1;SHXC20;4026;C2;FOB;VOLVO;SANTA MARGARITA;75
US1;SHXD76;4028;C2;FOB;VOLVO;SANTA MARGARITA;75
US1;SHXD78;4029;C2;FOB;VOLVO;SANTA MARGARITA;75
US1;SHXF26;4032;C2;FOB;VOLVO;SANTA MARGARITA;75
US1;SHXF27;4033;C2;FOB;VOLVO;SANTA MARGARITA;75
US1;SHXF28;4034;C2;FOB;VOLVO;SANTA MARGARITA;75
US1;SHXG32;4039;C2;FOB;VOLVO;SANTA MARGARITA;75
US1;SJPC38;4045;C2;FOB;VOLVO;SANTA MARGARITA;75
US1;SHXF24;4030;C2;FOB;VOLVO;SANTA MARGARITA;75
US1;SHXG30;4037;C2;FOB;VOLVO;SANTA MARGARITA;75
US1;SJPC44;4047;C2;FOB;VOLVO;SANTA MARGARITA;75
US1;SJPC56;4053;C2;FOB;VOLVO;SANTA MARGARITA;75
US1;SJPC66;4054;C2;FOB;VOLVO;SANTA MARGARITA;75
US1;SJPC67;4055;C2;FOB;VOLVO;SANTA MARGARITA;75
US1;SJPD92;4060;C2;FOB;VOLVO;SANTA MARGARITA;75
US1;SJPD94;4062;C2;FOB;VOLVO;SANTA MARGARITA;75
US1;SJPD99;4065;C2;FOB;VOLVO;SANTA MARGARITA;75
US1;SHCX53;1000;A2;FOB;VOLVO;CONDELL;45
US1;SHCY10;1001;A2;FOB;VOLVO;CONDELL;45
US1;SHXF83;1018;A2;FOB;VOLVO;CONDELL;45
US1;SHXG99;1019;A2;FOB;VOLVO;CONDELL;45
US1;SHCY62;1020;A2;FOB;VOLVO;CONDELL;45
US1;SHCY45;1021;A2;FOB;VOLVO;CONDELL;45
US1;SHCY44;1022;A2;FOB;VOLVO;CONDELL;45
US1;SHCY43;1023;A2;FR;VOLVO;CONDELL;45
US1;SHXD83;1028;A2;FOB;VOLVO;CONDELL;45
US1;SHCY38;1029;A2;FOB;VOLVO;CONDELL;45
US1;LDJP67;2080;B2;FOB;MERCEDES BENZ;CONDELL;60
US1;LDJP70;2081;B2;FOB;MERCEDES BENZ;CONDELL;60
US1;LDJP71;2082;B2;FOB;MERCEDES BENZ;CONDELL;60
US1;LDJP72;2083;B2;FOB;MERCEDES BENZ;CONDELL;60
US1;LDJP73;2084;B2;FOB;MERCEDES BENZ;CONDELL;60
US1;LDJV43;2085;B2;FOB;MERCEDES BENZ;CONDELL;60
US1;LDJV44;2086;B2;FR;MERCEDES BENZ;CONDELL;60
US1;LDJV45;2087;B2;FR;MERCEDES BENZ;CONDELL;60
US1;LDJV46;2088;B2;FOB;MERCEDES BENZ;CONDELL;60
US1;LDJV48;2089;B2;FOB;MERCEDES BENZ;CONDELL;60
US1;LDJV49;2090;B2;FOB;MERCEDES BENZ;CONDELL;60
US1;LDJV51;2092;B2;FOB;MERCEDES BENZ;CONDELL;60
US1;LDJV52;2093;B2;FOB;MERCEDES BENZ;CONDELL;60
US1;LDJW29;2094;B2;FOB;MERCEDES BENZ;CONDELL;60
US1;LDJW48;2111;B2;FOB;MERCEDES BENZ;CONDELL;60
US1;SJTD55;3000;BE;FR;FOTON;CONDELL;45
US1;SJTD56;3001;BE;FR;FOTON;CONDELL;45
US1;SJTD57;3002;BE;FR;FOTON;CONDELL;45
US1;SJTD58;3003;BE;FR;FOTON;CONDELL;45
US1;SJTD61;3004;BE;FR;FOTON;CONDELL;45
US1;SJTD62;3005;BE;FR;FOTON;CONDELL;45
US1;SJTD63;3006;BE;FR;FOTON;CONDELL;45
US1;SJTD64;3007;BE;FR;FOTON;CONDELL;45
US1;SJTD65;3008;BE;FR;FOTON;CONDELL;45
US1;SJTD66;3009;BE;FOB;FOTON;CONDELL;45
US1;SKHF49;3010;BE;FOB;FOTON;CONDELL;45
US1;SKHF84;3011;BE;FOB;FOTON;CONDELL;45
US1;SKHF87;3012;BE;FOB;FOTON;CONDELL;45
US1;SKHF91;3013;BE;FOB;FOTON;CONDELL;45
US1;SKHF92;3014;BE;FOB;FOTON;CONDELL;45
US1;SKHG14;3015;BE;FOB;FOTON;CONDELL;45
US1;SKHG17;3016;BE;FOB;FOTON;CONDELL;45
US1;SKHG20;3017;BE;FOB;FOTON;CONDELL;45
US1;SKHG33;3018;BE;FOB;FOTON;CONDELL;45
US1;SKHG37;3019;BE;FOB;FOTON;CONDELL;45
US1;SKHG39;3020;BE;FOB;FOTON;CONDELL;45
US1;SKHG40;3021;BE;FOB;FOTON;CONDELL;45
US1;SKHG42;3022;BE;FOB;FOTON;CONDELL;45
US1;SKHG47;3023;BE;FOB;FOTON;CONDELL;45
US1;SKHG55;3024;BE;FOB;FOTON;CONDELL;45
US1;SKHG57;3025;BE;FOB;FOTON;CONDELL;45
US1;SKHG59;3026;BE;FOB;FOTON;CONDELL;45
US1;SKHG62;3027;BE;FOB;FOTON;CONDELL;45
US1;SKHG65;3028;BE;FOB;FOTON;CONDELL;45
US1;SKHG69;3029;BE;FOB;FOTON;CONDELL;45
US1;SKHG70;3030;BE;FOB;FOTON;CONDELL;45
US1;SKHG73;3031;BE;FOB;FOTON;CONDELL;45
US1;SKHG74;3032;BE;FOB;FOTON;CONDELL;45
US1;SKHG79;3033;BE;FOB;FOTON;CONDELL;45
US1;SKHG80;3034;BE;FOB;FOTON;CONDELL;45
US1;SKHG82;3035;BE;FOB;FOTON;CONDELL;45
US1;SKHG85;3036;BE;FOB;FOTON;CONDELL;45
US1;SKHG89;3037;BE;FOB;FOTON;CONDELL;45
US1;SKHG90;3038;BE;FOB;FOTON;CONDELL;45
US1;SKHG92;3039;BE;FOB;FOTON;CONDELL;45
US1;SKHG93;3040;BE;FOB;FOTON;CONDELL;45
US1;SKHG95;3041;BE;FOB;FOTON;CONDELL;45
US1;SPZX34;3042;BE;FOB;FOTON;CONDELL;45
US1;SPZX36;3043;BE;FOB;FOTON;CONDELL;45
US1;SPZX39;3044;BE;FOB;FOTON;CONDELL;45
US1;SPZX41;3045;BE;FOB;FOTON;CONDELL;45
US1;SPZX42;3046;BE;FOB;FOTON;CONDELL;45
US1;SPZX46;3047;BE;FOB;FOTON;CONDELL;45
US1;SPZX51;3048;BE;FOB;FOTON;CONDELL;45
US1;SPZX55;3049;BE;FOB;FOTON;CONDELL;45
US1;SPZX56;3050;BE;FOB;FOTON;CONDELL;45
US1;SPZX58;3051;BE;FOB;FOTON;CONDELL;45
US1;STHB50;3059;BE;FOB;FOTON;CONDELL;45
US1;STHD21;3065;BE;FOB;FOTON;CONDELL;45
US1;STHD35;3066;BE;FOB;FOTON;CONDELL;45
US1;STHD47;3067;BE;FOB;FOTON;CONDELL;45
US1;STHD54;3068;BE;FOB;FOTON;CONDELL;45
US1;STHD65;3069;BE;FOB;FOTON;CONDELL;45
US1;STHD72;3070;BE;FOB;FOTON;CONDELL;45
US1;STHF13;3071;BE;FOB;FOTON;CONDELL;45
US1;STHF15;3072;BE;FOB;FOTON;CONDELL;45
US1;STHF35;3074;BE;FOB;FOTON;CONDELL;45
US1;STHF42;3075;BE;FOB;FOTON;CONDELL;45
US1;STHF45;3076;BE;FOB;FOTON;CONDELL;45
US1;STHF49;3077;BE;FOB;FOTON;CONDELL;45
US1;STHF62;3079;BE;FOB;FOTON;CONDELL;45
US1;STHF76;3081;BE;FOB;FOTON;CONDELL;45
US1;LDJX67;4000;C2;FOB;MERCEDES BENZ;CONDELL;75
US1;LDSW88;4001;C2;FOB;MERCEDES BENZ;CONDELL;75
US1;LDSX94;4002;C2;FOB;MERCEDES BENZ;CONDELL;75
